panel_name	nando_id	gene_symbol_list
Mitochondrial diseases	NANDO:1200173	AARS2 | ABCB7 | ADRA2B | AFG3L2 | AGK | AIFM1 | AMPD1 | AMPD3 | ATP1A3 | ATP5F1A | ATP5F1D | ATP5F1E | ATP5MK | ATP5PO | ATP6 | ATP8 | ATPAF2 | BCS1L | BOLA3 | C1QBP | C2orf69 | CAMKMT | CARS2 | CHCHD10 | CLPP | CNTN2 | COA3 | COA5 | COA6 | COA8 | COQ2 | COQ4 | COQ5 | COQ6 | COQ7 | COQ8A | COQ9 | COX1 | COX10 | COX11 | COX14 | COX15 | COX16 | COX2 | COX20 | COX3 | COX4I1 | COX4I2 | COX5A | COX6A1 | COX6A2 | COX6B1 | COX8A | CPLX1 | CRLS1 | CTNND2 | CYC1 | CYTB | DARS2 | DGUOK | DLAT | DLD | DNA2 | DNAJC30 | DNM1L | EARS2 | ECHS1 | ELAC2 | ERAL1 | ETFA | ETFB | ETFDH | ETHE1 | FARS2 | FASTKD2 | FBXL4 | FDX2 | FDXR | FH | FLAD1 | FOXRED1 | GATB | GATC | GCSH | GFER | GFM1 | GFM2 | GGPS1 | GLRX5 | GTPBP3 | HADHA | HADHB | HARS2 | HIBCH | HSD17B10 | HSD17B4 | IARS2 | IBA57 | ISCA1 | ISCA2 | ISCU | LARS2 | LIAS | LIG3 | LIPT1 | LONP1 | LRPPRC | LYRM4 | LYRM7 | MARCHF6 | MARS2 | MECR | MFF | MGME1 | MICOS13 | MIPEP | MPC1 | MPV17 | MRM2 | MRPL12 | MRPL3 | MRPL39 | MRPL44 | MRPS14 | MRPS16 | MRPS2 | MRPS22 | MRPS23 | MRPS28 | MRPS34 | MRPS7 | MSTO1 | MTFMT | MTO1 | MTPAP | MTRFR | NARS2 | ND1 | ND2 | ND3 | ND4 | ND4L | ND5 | ND6 | NDUFA1 | NDUFA10 | NDUFA11 | NDUFA12 | NDUFA13 | NDUFA2 | NDUFA4 | NDUFA6 | NDUFA8 | NDUFA9 | NDUFAF1 | NDUFAF2 | NDUFAF3 | NDUFAF4 | NDUFAF5 | NDUFAF6 | NDUFAF8 | NDUFB10 | NDUFB11 | NDUFB3 | NDUFB7 | NDUFB8 | NDUFB9 | NDUFC2 | NDUFS1 | NDUFS2 | NDUFS3 | NDUFS4 | NDUFS6 | NDUFS7 | NDUFS8 | NDUFV1 | NDUFV2 | NFS1 | NFU1 | NSUN3 | NUBPL | OGDH | OPA1 | OPA3 | PDHA1 | PDHB | PDHX | PDP1 | PDSS1 | PDSS2 | PET100 | PET117 | PMPCB | PNPLA8 | PNPT1 | POLG | POLG2 | POLRMT | POU3F4 | PREPL | PRICKLE2 | PRORP | PTCD3 | PUS1 | QRSL1 | RAPGEF2 | RARS2 | RMND1 | RNASEH1 | RNR1 | RRM1 | RRM2B | SAMD12 | SARS2 | SCO1 | SCO2 | SDHA | SDHAF1 | SDHB | SDHD | SERAC1 | SFXN4 | SIK1 | SLC19A3 | SLC1A2 | SLC25A10 | SLC25A12 | SLC25A21 | SLC25A22 | SLC25A26 | SLC25A3 | SLC25A32 | SLC25A4 | SLC3A1 | SPG7 | STARD7 | SUCLA2 | SUCLG1 | SURF1 | TACO1 | TAFAZZIN | TAMM41 | TARS2 | TBC1D24 | TEFM | TFAM | TFB1M | TIMM22 | TIMMDC1 | TK2 | TKFC | TMEM126A | TMEM126B | TMEM70 | TNRC6A | TOP3A | TRIT1 | TRMT10C | TRMT5 | TRMU | TRNC | TRNF | TRNI | TRNK | TRNL1 | TRNN | TRNP | TRNQ | TRNS1 | TRNS2 | TRNT | TRNV | TRNW | TSFM | TTC19 | TUFM | TWNK | TXN2 | TYMP | UQCC2 | UQCC3 | UQCRB | UQCRC2 | UQCRFS1 | UQCRH | UQCRQ | VARS1 | VARS2 | YARS2 | YEATS2
Chronic progressive external ophthalmoplegia	NANDO:1200174	DGUOK | DNA2 | POLG | POLG2 | RNASEH1 | RRM1 | RRM2B | SLC25A4 | TK2 | TOP3A | TWNK
Leigh's encephalomyelopathy	NANDO:1200175	ATP6 | COX10 | COX15 | DLD | EARS2 | ECHS1 | ETHE1 | FBXL4 | HIBCH | LRPPRC | MTFMT | MTRFR | ND1 | ND2 | ND3 | ND4 | ND5 | ND6 | NDUFAF2 | NDUFAF5 | NDUFAF6 | NDUFS1 | NDUFS2 | NDUFS4 | NDUFV1 | PDHA1 | PDHX | SCO2 | SDHA | SERAC1 | SLC19A3 | SUCLA2 | SURF1 | TRNK | TTC19
Mitochondrial encephalomyopathy, lactic acidosis, and strokelike episodes syndrome	NANDO:1200176	COX1 | COX2 | COX3 | CYTB | ND1 | ND4 | ND5 | ND6 | TRNC | TRNF | TRNK | TRNL1 | TRNQ | TRNS1 | TRNS2 | TRNV | TRNW
Myoclonus epilepsy associated with ragged-red fibers	NANDO:1200177	ND5 | TRNF | TRNI | TRNK | TRNL1 | TRNP
Leber disease	NANDO:1200178	
Mitochondrial diseases with proven biochemical abnormality	NANDO:1200179	
Mitochondrial complex I deficiency	NANDO:1200180	DNAJC30 | ELAC2 | FOXRED1 | MTFMT | ND1 | ND2 | ND3 | NDUFA1 | NDUFA10 | NDUFA11 | NDUFA12 | NDUFA13 | NDUFA2 | NDUFA6 | NDUFA8 | NDUFA9 | NDUFAF1 | NDUFAF2 | NDUFAF3 | NDUFAF4 | NDUFAF5 | NDUFAF6 | NDUFAF8 | NDUFB10 | NDUFB11 | NDUFB3 | NDUFB7 | NDUFB8 | NDUFB9 | NDUFC2 | NDUFS1 | NDUFS2 | NDUFS3 | NDUFS4 | NDUFS6 | NDUFS7 | NDUFS8 | NDUFV1 | NDUFV2 | NUBPL | TIMMDC1 | TMEM126B
Mitochondrial complex II deficiency	NANDO:1200181	
Hyperlacticacidemia with no identified etiology	NANDO:1200182	
Moyamoya disease	NANDO:1200183	ACTA2 | ANO1 | BRCC3 | DIAPH1 | GUCY1A1 | RNF213
Bilateral moyamoya disease	NANDO:1200184	
Unilateral moyamoya disease	NANDO:1200185	
Prion disease	NANDO:1200186	HLA-DQB1 | PRNP
Sporadic Creutzfeldt-Jakob disease	NANDO:1200187	
Genetic prion diseases	NANDO:1200188	
Familial Creutzfeldt-Jakob disease	NANDO:1200189	HLA-DQB1 | PRNP
Gerstmann-Straussler-Scheinker syndrome	NANDO:1200190	PRNP
Fatal familial insomnia	NANDO:1200191	PRNP
Environmentally acquired Creutzfeldt-Jakob disease	NANDO:1200192	
Iatrogenic Creutzfeldt-Jakob disease	NANDO:1200193	
Variant Creutzfeldt-Jakob disease	NANDO:1200194	
Subacute sclerosing panencephalitis	NANDO:1200195	
Typical subacute sclerosing panencephalitis	NANDO:1200196	
Rapidly progressive subacute sclerosing panencephalitis	NANDO:1200197	
Subacute progressive sclerosing panencephalitis	NANDO:1200198	
Slowly progressive subacute sclerosing panencephalitis	NANDO:1200199	
Chronic relapsing-remitting subacute sclerosing panencephalitis	NANDO:1200200	
Atypical subacute sclerosing panencephalitis	NANDO:1200201	
