NANDO	notification_number	disease_name_en	disease_name_synonym_en	disease_name_ja	disease_name_synonym_ja	Mondo
NANDO:2200923	3	[小慢] Autoimmune enteropathy		[小慢] 自己免疫性腸症	IPEX症候群	MONDO:0019787
NANDO:2200925	33	[小慢] Chronic nonspecific multiple ulcers of the small intestine	Chronic enteropathy associated with SLCO2A1|CEAS	[小慢] 非特異性多発性小腸潰瘍症		MONDO:0018766
NANDO:2200926	17	[小慢] Acute liver failure with hepatic coma	Hepatic coma	[小慢] 急性肝不全（昏睡型）		
NANDO:2200927	44	[小慢] Neonatal hemochromatosis	Neonatal haemochromatosis	[小慢] 新生児ヘモクロマトーシス		MONDO:0009275
NANDO:2200928	43	[小慢] Autoimmune hepatitis	AIH	[小慢] 自己免疫性肝炎		MONDO:0016264
NANDO:2200929	42	[小慢] Primary sclerosing cholangitis	PSC	[小慢] 原発性硬化性胆管炎		MONDO:0013433|MONDO:0018646
NANDO:2200930	16	[小慢] biliary atresia	BA	[小慢] 胆道閉鎖症		MONDO:0008867|MONDO:0028737
NANDO:2200931	11	[小慢] Alagille syndrome		[小慢] アラジール症候群	Alagille症候群	MONDO:0007318
NANDO:2200932	12	[小慢] Non-syndromic paucity of intrahepatic bile duct		[小慢] 肝内胆管減少症	非症候性肝内胆管減少症	
NANDO:2200933	13	[小慢] Progressive familial intrahepatic cholestasis	PFIC	[小慢] 進行性家族性肝内胆汁うっ滞症		MONDO:0015762
NANDO:2200934	14	[小慢] Caroli disease		[小慢] 先天性多発肝内胆管拡張症	カロリ病|Caroli病	MONDO:0010913|MONDO:0018808
NANDO:2200935	15	[小慢] Congenital biliary dilatation		[小慢] 先天性胆道拡張症		
NANDO:2200936	10	[小慢] Congenital hepatic fibrosis	CHF	[小慢] 先天性肝線維症		MONDO:0018840
NANDO:2200937	9	[小慢] Liver cirrhosis		[小慢] 肝硬変症		MONDO:0005155
NANDO:2200938	7	[小慢] Portal hypertension	Banti syndrome	[小慢] 門脈圧亢進症		MONDO:0005080|MONDO:0021969
NANDO:2200939	6	[小慢] Congenital absence of portal vein	CAPV	[小慢] 先天性門脈欠損症		
NANDO:2200940	8	[小慢] Congenital hepatoportal arteriovenous fistula		[小慢] 門脈・肝動脈瘻		
NANDO:2200941	18	[小慢] Crigler-Najjar syndrome		[小慢] クリグラー・ナジャー症候群	Crigler-Najjar症候群	MONDO:0009044
NANDO:2200942	31	[小慢] Hereditary pancreatitis		[小慢] 遺伝性膵炎		MONDO:0008185
NANDO:2200943	32	[小慢] Autoimmune pancreatitis		[小慢] 自己免疫性膵炎		MONDO:0015175
NANDO:2200944	22	[小慢] Short bowel syndrome		[小慢] 短腸症		MONDO:0015183
NANDO:2200945	36	[小慢] Hirschsprung disease	Hirschsprung's disease	[小慢] ヒルシュスプルング病	Hirschsprung病	MONDO:0018309
NANDO:2200946	37	[小慢] Chronic idiopathic intestinal pseudo-obstruction	CIIP	[小慢] 慢性特発性偽性腸閉塞症		MONDO:0017574
NANDO:2200947	34	[小慢] Megacystis-microcolon-intestinal hypoperistalsis syndrome	MMIHS	[小慢] 巨大膀胱短小結腸腸管蠕動不全症		MONDO:0007960
NANDO:2200948	35	[小慢] Congenital Isolated Hypoganglionosis		[小慢] 腸管神経節細胞僅少症		MONDO:0018309|MONDO:0008738
