ICD-10	ICD-10_group	disease_control_number	disease_name
M0005	U821	20097580	ＭＲＳＡ股関節炎
M8699	U821	20083766	ＭＲＳＡ骨髄炎
M0006	U821	20097648	ＭＲＳＡ膝関節炎
T814	U821	20083773	ＭＲＳＡ術後創部感染
G003	U821	20083771	ＭＲＳＡ髄膜炎
M0002	U821	20099732	ＭＲＳＡ肘関節炎
A048	U821	20083774	ＭＲＳＡ腸炎
J869	U821	20083772	ＭＲＳＡ膿胸
J152	U821	20083769	ＭＲＳＡ肺炎
J852	U821	20083768	ＭＲＳＡ肺化膿症
A410	U821	20083764	ＭＲＳＡ敗血症
K650	U821	20083770	ＭＲＳＡ腹膜炎
Z228	U821	20050275	ＭＲＳＡ保菌者
N308	U821	20088190	ＭＲＳＡ膀胱炎
D848		20103336	ＭｙＤ８８欠損症
E722		20101202	Ｎ－アセチルグルタミン酸合成酵素欠損症
C947		20103404	ＮＫ細胞白血病
D898		20102893	ＮＬＲＣ４異常症
K259	Y459	20086521	ＮＳＡＩＤ胃潰瘍
K269	Y459	20086522	ＮＳＡＩＤ十二指腸潰瘍
N140	Y459	20086000	ＮＳＡＩＤ腎症
R778		20093120	ＮＳＥ高値
E250		20100535	Ｐ４５０オキシドレダクターゼ欠損症
D898		20101257	ＰＡＰＡ症候群
G404		20103115	ＰＣＤＨ１９関連症候群
G378		20101050	ＰＣＷＨ
E744		20103304	ＰＥＰＣＫ欠損症
D898		20100359	ＰＦＡＰＡ症候群
E740		20101227	ＰＧＫ欠損症
M1314		20050298	ＰＩＰ関節炎
S6261		20085626	ＰＩＰ関節開放性脱臼骨折
S631		20050299	ＰＩＰ関節脱臼
S6260		20050300	ＰＩＰ関節脱臼骨折
S6260		20050301	ＰＩＰ関節内骨折
S636		20050302	ＰＩＰ関節捻挫
M674		20079977	ＰＩＰ関節部ガングリオン
M1994		20050303	ＰＩＰ関節変形性関節症
R778		20093110	ＰＩＶＫＡ－ＩＩ高値
D848		20103325	ＰＭＳ２異常症
D815		20095374	ＰＮＰ欠損症
C900		20097783	ＰＯＥＭＳ症候群
R778		20093112	ＰＳＡ高値
Z955		20087861	ＰＴＣＡ術後
T825		20094951	ＰＶシャントカテーテル腹腔内逸脱
C910		20095908	Ｐｈ陽性急性リンパ性白血病
I458		20050318	ＱＴ延長症候群
I498		20092658	ＱＴ短縮症候群
A78		20050320	Ｑ熱
C920		20050325	ＲＡＥＢ－ｔ
D763		20103442	ＲＡＳ関連自己免疫性リンパ増殖症候群様疾患
D828		20103324	ＲＩＤＤＬＥ症候群
C349		20102637	ＲＯＳ１融合遺伝子陽性非小細胞肺癌
M0600		20090287	ＲＳ３ＰＥ症候群
B348		20050328	ＲＳウイルス感染症
J205		20050329	ＲＳウイルス気管支炎
J210		20050330	ＲＳウイルス細気管支炎
B348	G948	20101446	ＲＳウイルス脳症
J121		20050331	ＲＳウイルス肺炎
P550		20050334	Ｒｈ因子不適合
T804		20050335	Ｒｈ因子不適合輸血
O360		20050336	Ｒｈ不適合
P550		20050339	Ｒｈ溶血性疾患
D898		20101894	ＳＡＰＨＯ症候群
E713		20097786	ＳＣＡＤ欠損症
R778		20093114	ＳＣＣ高値
E713		20103289	ＳＣＯＴ欠損症
E274		20100538	ＳＦ－１異常症
E343	P051	20093665	ＳＧＡ性低身長症
M321	H368	20050348	ＳＬＥ眼底
P008		20089147	ＳＬＥ母体児
R778		20093116	ＳＬＸ高値
T888		20087431	ＳＲイソシットインレー過高
T888		20087432	ＳＲイソシットインレー粗造
T888		20087433	ＳＲイソシットインレー脱離
T888		20087434	ＳＲイソシットインレー低位
T888		20087435	ＳＲイソシットインレー破損
T888		20087436	ＳＲイソシットインレー不適合
I219		20097410	ＳＴ上昇型急性心筋梗塞
A099		20050365	Ｓ状結腸炎
K633		20050375	Ｓ状結腸潰瘍
Q438		20086781	Ｓ状結腸過長症
