id	label_en	synonym_en	label_ja	synonym_ja
D823			ＥＢウイルス関連免疫不全症	
B270			ＥＢウイルス伝染性単核症	
J128			ＥＢウイルス肺炎	
R768			ＥＤＴＡ依存性偽性血小板減少症	
C349			ＥＧＦＲ遺伝子変異陽性非小細胞肺癌	
K858			ＥＲＣＰ後膵炎	
A499			ＥＳＢＬ産生菌感染症	
T810			ＥＳＷＬ後腎皮膜下血腫	
E078			Ｅｕｔｈｙｒｏｉｄ　Ｓｉｃｋ症候群	
B172			Ｅ型肝炎	
B172			Ｅ型劇症肝炎	
O360			Ｅ不適合	
E741			ＦＢＰａｓｅ欠損症	
D352			ＦＳＨ産生下垂体腺腫	
E230			ＦＳＨ単独欠損症	
D550			Ｇ６ＰＤ欠乏性貧血	
E888			ＧＡＢＡアミノ基転移酵素欠損症	
E742			ＧＡＬＥ欠損症	
E742			ＧＡＬＴ欠損症	
E751			ＧＭ１ガングリオシドーシス	
E750			ＧＭ２ガングリオシドーシス	
E750			ＧＭ２ガングリオシドーシス１型	
E750			ＧＭ２ガングリオシドーシス２型	
E751			ＧＭ３ガングリオシドーシス	
T860			ＧＶＨＤ・骨髄移植後	
T868			ＧＶＨＤ・臍帯血移植後	
T868			ＧＶＨＤ・末梢血幹細胞移植後	
A408			Ｇ群連鎖球菌敗血症	
E713			ＨＡＤＨ欠損症	
Z225			ＨＢＶキャリア	
R768			ＨＢｃ抗体検査陽性	
R768			ＨＢｅ抗原検査陽性	
R768			ＨＢｓ抗原検査陽性	
R768			ＨＢｓ抗体検査陽性	
B169			ＨＢウイルス腎症	
G378			ＨＣＡＨＣ	
Z225			ＨＣＶキャリア	
R768			ＨＣＶ抗体検査陽性	
B171			ＨＣウイルス腎症	
G318			ＨＤＬＳ	
O142			ＨＥＬＬＰ症候群	
C169			ＨＥＲ２陽性胃癌	
C509			ＨＥＲ２陽性乳癌	
Z225			ＨＥＶキャリア	
C838			ＨＨＶ８多中心性キャッスルマン病随伴大細胞型Ｂ細胞性リンパ腫	
B24			ＨＩＶ−１感染症	
B24			ＨＩＶ−２感染症	
B210			ＨＩＶカポジ肉腫	
B206			ＨＩＶカリニ肺炎	
B221			ＨＩＶ間質性肺炎	
B204			ＨＩＶカンジダ病	
B24			ＨＩＶ感染	
B24			ＨＩＶ感染症	
B220			ＨＩＶ感染症の認知症	
P002			ＨＩＶ感染母体より出生した児	
Z21			ＨＩＶキャリア	
R75			ＨＩＶ検査陽性	
B202			ＨＩＶサイトメガロウイルス感染症	
B238			ＨＩＶ腎症	
B220			ＨＩＶ脳症	
B211			ＨＩＶバーキットリンパ腫	
B200			ＨＩＶ非結核性抗酸菌症	
B212			ＨＩＶ非ホジキンリンパ腫	
B203			ＨＩＶヘルペスウイルス感染症	
B238			ＨＩＶ網膜症	
E713			ＨＭＧ−ＣｏＡ合成酵素欠損症	
E711			ＨＭＧ血症	
B333			ＨＴＬＶ−１感染症	
A858			ＨＴＬＶ−１関連脊髄症	
Z226			ＨＴＬＶ−１キャリア	
B333			ＨＴＬＶ−１ぶどう膜炎	
G378			Ｈｓｐ６０　シャペロン病	
I600			ＩＣ−ＰＣ動脈瘤破裂によるくも膜下出血	
D800			ＩＣＦ症候群	
F99			ＩＣＵ症候群	
C910			ＩＬ３−ＩＧＨ陽性Ｂリンパ芽球性白血病	
C910			ＩＬ３−ＩＧＨ陽性Ｂリンパ芽球性白血病／リンパ腫	
C835			ＩＬ３−ＩＧＨ陽性Ｂリンパ芽球性リンパ腫	
E274			ＩＭＡｇｅ症候群	
D848			ＩＰＥＸ症候群	
M1314			ＩＰ関節炎	
S636			ＩＰ関節捻挫	
D848			ＩＲＡＫ４欠損症	
Z305			ＩＵＤ検診	
Z301			ＩＵＤ挿入	
Z305			ＩＵＤ抜去	
D690			ＩｇＡ血管炎	
D690			ＩｇＡ血管炎性関節炎	
D802			ＩｇＡ欠損症	
N028			ＩｇＡ腎症	
K830			ＩｇＧ４関連硬化性胆管炎	
M359			ＩｇＧ４関連疾患	
N119			ＩｇＧ４関連腎臓病	
K118			ＩｇＧ４関連ミクリッツ病	
D803			ＩｇＧサブクラス欠損症	
D804			ＩｇＭ欠損症	
E770			Ｉ細胞病	
Q809			ＫＩＤ症候群	
C169			ＫＩＴ（ＣＤ１１７）陽性胃消化管間質腫瘍	
C189			ＫＩＴ（ＣＤ１１７）陽性結腸消化管間質腫瘍	
C269			ＫＩＴ（ＣＤ１１７）陽性消化管間質腫瘍	
C179			ＫＩＴ（ＣＤ１１７）陽性小腸消化管間質腫瘍	
C159			ＫＩＴ（ＣＤ１１７）陽性食道消化管間質腫瘍	
C20			ＫＩＴ（ＣＤ１１７）陽性直腸消化管間質腫瘍	
C189			ＫＲＡＳ遺伝子野生型結腸癌	
C20			ＫＲＡＳ遺伝子野生型直腸癌	
E748			Ｌ−キシルロース尿症	
E713			ＬＣＡＤ欠損症	
