id	label_en	synonym_en	label_ja	synonym_ja
2200316	[小慢] Growth hormone deficiency caused by cerebral organic disorders		[小慢] 成長ホルモン分泌不全性低身長症（脳の器質的原因によるものに限る。）	GH分泌不全性低身長症（脳の器質的原因によるものに限る。）
2200318	[小慢] Growth hormone deficiency not caused by cerebral organic disorders		[小慢] 成長ホルモン分泌不全性低身長症（脳の器質的原因によるものを除く。）	GH分泌不全性低身長症（脳の器質的原因によるものを除く。）
2200320	[小慢] IGF1 insensitivity		[小慢] インスリン様成長因子1不応症	IGF-1不応症
2200321	[小慢] Growth hormone insensitivity		[小慢] 成長ホルモン不応性症候群	
2200322	[小慢] Hyperprolactinemia	Hyperprolactinaemia	[小慢] 高プロラクチン血症	
2200323	[小慢] Syndrome of inappropriate secretion of antidiuretic hormone	SIADH	[小慢] 抗利尿ホルモン不適切分泌症候群	バゾプレシン分泌過剰症|ADH分泌亢進症
2200324	[小慢] Central diabetes insipidus		[小慢] 中枢性尿崩症	
2200325	[小慢] Adipsic hypernatremia	Adipsic hypernatraemia|Essential hypernatremia	[小慢] 口渇中枢障害を伴う高ナトリウム血症	本態性高ナトリウム血症|無飲症性高ナトリウム血症
2200326	[小慢] Nephrogenic diabetes insipidus		[小慢] 腎性尿崩症	
2200327	[小慢] Cerebral salt wasting syndrome		[小慢] 中枢性塩喪失症候群	
2200328	[小慢] Basedow disease	Graves' disease	[小慢] バセドウ病	Basedow病 
2200329	[小慢] Hyperthyroidism		[小慢] 甲状腺機能亢進症	
2200330	[小慢] Ectoic thyroid		[小慢] 異所性甲状腺	
2200331	[小慢] Thyroid agenesis	Athyreosis	[小慢] 無甲状腺症	
2200332	[小慢] Thyroid-stimulating hormone deficiency		[小慢] 甲状腺刺激ホルモン分泌低下症	TSH分泌低下症
2200334	[小慢] Other congenital hypothyroidism	CH	[小慢] 17から19までに掲げるもののほか、先天性甲状腺機能低下症	
2200335	[小慢] Hashimoto disease	Hashimoto’s thyroiditis	[小慢] 橋本病	
2200336	[小慢] Atrophic thyroiditis	Primary myxedema	[小慢] 萎縮性甲状腺炎	特発性粘液水腫
2200337	[小慢] Other acquired hypothyroidism		[小慢] 21及び22に掲げるもののほか、後天性甲状腺機能低下症	
2200341	[小慢] Resistance to thyroid hormone	Syndrome of Resistance to Thyroid Hormone|RTH	[小慢] 甲状腺ホルモン不応症	
2200342	[小慢] Adenomatous goiter	Adenomatous goitre	[小慢] 腺腫様甲状腺腫	
2200343	[小慢] Hyperparathyroidism		[小慢] 副甲状腺機能亢進症	
2200344	[小慢] Parathyroid gland defect		[小慢] 副甲状腺欠損症	
2200345	[小慢] Hypoparathyroidism		[小慢] 副甲状腺機能低下症	
2200346	[小慢] Autoimmune polyendocrinopathy type 1		[小慢] 自己免疫性多内分泌腺症候群1型	
2200347	[小慢] Autoimmune polyendocrinopathy type 2		[小慢] 自己免疫性多内分泌腺症候群2型	
2200348	[小慢] Pseudopseudohypoparathyroidism		[小慢] 偽性偽性副甲状腺機能低下症	
2200349	[小慢] Pseudohypoparathyroidism		[小慢] 偽性副甲状腺機能低下症	
2200350	[小慢] Cushing disease	Cushing's Disease	[小慢] クッシング病	Cushing病
2200351	[小慢] Ectopic ACTH syndrome		[小慢] 異所性副腎皮質刺激ホルモン産生症候群	異所性ACTH産生症候群
2200352	[小慢] Adrenal adenoma		[小慢] 副腎腺腫	
2200353	[小慢] ACTH-independent macronodular adrenal hyperplasia		[小慢] 副腎皮質結節性過形成	
2200354	[小慢] Other Cushing syndrome		[小慢] 33から36までに掲げるもののほか、クッシング症候群	
2200355	[小慢] Isolated ACTH deficiency		[小慢] 副腎皮質刺激ホルモン単独欠損症	ACTH単独欠損症
2200356	[小慢] ACTH unresponsiveness	Adrenocorticotropin unresponsiveness|Adrenocorticotropic hormone unresponsiveness|Adrenocorticotropic hormone insensitivity	[小慢] 副腎皮質刺激ホルモン不応症	ACTH不応症
2200357	[小慢] Congenital adrenal hypoplasia		[小慢] 先天性副腎低形成症	
2200358	[小慢] Glucocorticoid resistance		[小慢] グルココルチコイド抵抗症	
2200359	[小慢] Other chronic adrenal insufficiency	Addison disease	[小慢] 38から41までに掲げるもののほか、慢性副腎皮質機能低下症	
2200361	[小慢] Aldosteronism		[小慢] アルドステロン症	
2200362	[小慢] Apparent mineralocorticoid excess syndrome	AME syndrome	[小慢] 見かけの鉱質コルチコイド過剰症候群	AME症候群
2200363	[小慢] Liddle syndrome		[小慢] リドル症候群	Liddle症候群
2200364	[小慢] Hyporeninemic hypoaldosteronism	Hyporeninaemic hypoaldosteronism	[小慢] 低レニン性低アルドステロン症	
2200365	[小慢] Aldosterone synthase deficiency		[小慢] アルドステロン合成酵素欠損症	
2200366	[小慢] other hypoaldosteronism		[小慢] 46及び47に掲げるもののほか、低アルドステロン症	
2200367	[小慢] Pseudohypoaldosteronism		[小慢] 偽性低アルドステロン症	
2200370	[小慢] Congenital lipoid adrenal hyperplasia		[小慢] リポイド副腎過形成症	先天性リポイド過形成症
2200371	[小慢] 3 beta-hydroxysteroid dehydrogenase deficiency	3β-hydroxysteroid dehydrogenase deficiency	[小慢] 3β-ヒドロキシステロイド脱水素酵素欠損症	
2200372	[小慢] 11-β-Hydroxylase deficiency	11-beta-hydroxylase deficiency	[小慢] 11β-水酸化酵素欠損症	
2200373	[小慢] 17 alpha-hydroxylase deficiency	17-α-Hydroxylase deficiency	[小慢] 17α-水酸化酵素欠損症	
2200374	[小慢] 21-Hydroxylase deficiency		[小慢] 21-水酸化酵素欠損症	
2200375	[小慢] P450 oxidoreductase deficiency	PORD	[小慢] P450酸化還元酵素欠損症	P450オキシドレダクターゼ欠損症|POR欠損症
2200376	[小慢] Other congenital adrenal hyperplasia		[小慢] 50から55までに掲げるもののほか、先天性副腎過形成症	
2200377	[小慢] Gonadotropin-dependent precocious puberty		[小慢] ゴナドトロピン依存性思春期早発症	
2200378	[小慢] Non-gonadotropin-dependent precocious puberty		[小慢] ゴナドトロピン非依存性思春期早発症	
2200379	[小慢] Hyperestrogenism		[小慢] エストロゲン過剰症	
2200380	[小慢] Hyperandrogenism		[小慢] アンドロゲン過剰症	
2200381	[小慢] Kallmann syndrome		[小慢] カルマン症候群	Kallmann症候群
2200382	[小慢] Hypogonadotropic hypogonadism		[小慢] 低ゴナドトロピン性性腺機能低下症	ゴナドトロピン分泌低下症
2200383	[小慢] Testicular dysgenesis		[小慢] 精巣形成不全	
2200384	[小慢] Ovarian dysgenesis		[小慢] 卵巣形成不全	
