id	label_en	synonym_en	label_ja	synonym_ja	OMIM	Orphanet
MONDO:0000262	otomycosis	Singapore ear|otitis mycotic externa|external ear fungal infectious disease	外耳道真菌症			
MONDO:0000263	laryngotracheitis		喉頭気管炎			
MONDO:0000265	aspiration pneumonia	"inhalation pneumonia|syndrome, Mendelson|Mendelson's syndrome|syndrome, acid aspiration|Mendelson syndrome|Pneumonias, aspiration|syndromes, acid aspiration|Mendelsons syndrome|acid aspiration syndromes|aspiration pneumonia|syndrome, Mendelson's|acid aspiration syndrome|gastric acid aspiration syndrome|aspiration pneumonia (disease)|aspiration Pneumonias"	誤嚥性肺炎			
MONDO:0000266	pulmonary aspergilloma	lung aspergillosis	肺アスペルギローマ	肺アスペルギローム		
MONDO:0000270	lower respiratory tract disorder	disease or disorder of lower respiratory tract|disorder of lower respiratory tract|disease of lower respiratory tract|lower respiratory tract disease|lower respiratory tract disease or disorder	下気道障害	下気道疾患		
MONDO:0000271	tuberculous salpingitis	fallopian tube tuberculosis	結核性卵管炎			
MONDO:0000273	Kunjin virus infectous disease	Kunjin encephalitis	クンジンウイルス感染症			
MONDO:0000276	Powassan encephalitis	"encephalitis, powassan|powassan encephalitis virus infection|Powassan virus disease or disorder|Powassan virus caused disease or disorder|Powassan virus infectious disease"	ポワッサン脳炎	ポーワッサン脳炎|Powassan脳炎		
MONDO:0000282	Whitewater Arroyo hemorrhagic fever		ホワイトウォーターアロヨ出血熱			
MONDO:0000283	"Hantavirus hemorrhagic fever with renal syndrome, Seoul virus type"	Korean hemorrhagic fever	"腎症候群を伴うハンタウイルス出血熱, ソウルウイルス型"			
MONDO:0000284	"Hantavirus hemorrhagic fever with renal syndrome, Puumala virus type"	nephropathia epidemica|nephropathis epidemica	"腎症候群を伴うハンタウイルス出血熱, プーマラウイルス型"			
MONDO:0000286	Epstein-Barr virus hepatitis		エプスタイン・バーウイルス性肝炎			
MONDO:0000288	polycystic echinococcosis	neotropical echinococcosis|human polycystic hydatid disease	多嚢胞性エキノコックス症	多のう胞性エキノコックス症		
MONDO:0000290	primary amebic meningoencephalitis	"infections, Naegleria fowleri|Naegleria fowleri infection"	原発性アメーバ性髄膜脳炎	原発性アメーバ髄膜脳炎		
MONDO:0000291	granulomatous amebic encephalitis	granulomatous amebic encephalitis due to Acanthamoeba|Acanthamoeba encephalitis|Acanthamoeba granulomatous encephalitis|granulomatous amoebic encephalitis	肉芽腫性アメーバ性脳炎			
MONDO:0000292	philophthalmiasis	Philophthalmus disease or disorder|Philophthalmus infectious disease|Philophthalmus caused disease or disorder	Philophthalmus症			
MONDO:0000293	coenurosis	infection by larvae of multiceps|infection by tapeworm larva|sturdy|coenurosis|caenurosis|coenuriasis	共尾虫症	コエヌローシス		
MONDO:0000294	mesocestoidiasis	infection caused by Mesocestoides|Mesocestoides infectious disease|Mesocestoides caused disease or disorder|Mesocestoides disease or disorder|infection by Mesocestoides	有線条虫症			
MONDO:0000295	acanthocephaliasis	disease due to Acanthocephala|disease caused by Acanthocephala|Acanthocephala infectious disease|infection by thorny-headed worm|Acanthocephala caused disease or disorder|Acanthocephala disease or disorder|infection by Acanthocephala	鉤頭虫症			
MONDO:0000297	baylisascariasis	Baylisascaris procyonis disease or disorder|raccoon roundworm infection|Baylisascaris procyonis caused disease or disorder|Baylisascaris procyonis infectious disease	ベイリスアスカリス症			
MONDO:0000298	dioctophymiasis	dioctophyma renale infection|dioctophymosis|giant kidney worm disease|Dioctophyme renale disease or disorder|Dioctophyme renale infection|Dioctophyme renale infectious disease|Dioctophyme renale caused disease or disorder	ジオクトフィーマ症			
MONDO:0000299	thelaziasis		テラジア症			
MONDO:0000301	ophthalmomyiasis	Oestrus ovis caused myiasis|ophthalmic myiasis|Oestrus ovis myiasis|ophthalmomyiasis	眼ハエウジ病	眼ウジ病		
MONDO:0000302	basidiobolomycosis	infection by Basidiobolus|Basidiobolus caused disease or disorder|Basidiobolus infectious disease|basidiobolomycosis|Basidiobolus disease or disorder|infection caused by Basidiobolus	バシディオボールス症	バシジオボラス症		
MONDO:0000303	conidiobolomycosis	rhinoentomophthoromycosis|infection by Conidiobolus|Conidiobolus infectious disease	コニディオボルス症			
MONDO:0000304	penicilliosis	infection caused by Talaromyces marneffei|Talaromyces marneffei disease or disorder|Talaromyces marneffei infectious disease|Talaromyces marneffei caused disease or disorder|infection due to Penicillium marneffei|infection caused by Penicillium marneffei|Penicillium marneffei infectious disease	ペニシリウム症			
MONDO:0000306	trichosporonosis		トリコスポロン症			
MONDO:0000307	parasitic Ichthyosporea infectious disease	Ichthyosporea infectious disease|Ichthyosporea caused disease or disorder|Ichthyosporea disease or disorder	寄生性イクチオスポレア綱感染症	寄生性イクティオスポラ綱感染症		
MONDO:0000308	primary systemic mycosis		原発性全身性真菌症			
MONDO:0000309	aniseikonia		不等像視			
